"","FAD","LAD","Duration","Family","Order"
"Atopotarus","20.43","13.6","6.83","Desmatophocidae","Carnivora"
"Tapirus (Helicotapirus)","4.9","0.0117","4.8883","Tapiridae","Perissodactyla"
"Allodesmus","28.1","5.333","22.767","Desmatophocidae","Carnivora"
"Cuvieronius","10.3","0","10.3","Gomphotheriidae","Proboscidea"
"Equus","23.03","0","23.03","Equidae","Perissodactyla"
"Mammuthus","23.03","0","23.03","Elephantidae","Proboscidea"
"Hyrachyus","55.8","40.4","15.4","Hyrachyidae","Perissodactyla"
"Alphadon","72.1","66","6.09999999999999","Alphadontidae","Didelphimorphia"
"Ectocentrocristus","70.6","66","4.59999999999999","Herpetotheriidae","Marsupialia"
"Aquiladelphis","70.6","66","4.59999999999999","Aquiladelphidae","Didelphimorphia"
"Eodelphis","72.1","66","6.09999999999999","Stagodontidae","Didelphimorphia"
"Meniscoessus","72.1","66","6.09999999999999","Cimolomyidae","Multituberculata"
"Cimolodon","72.1","63.3","8.8","Cimolodontidae","Multituberculata"
"Didelphodon","72.1","66","6.09999999999999","Stagodontidae","Didelphimorphia"
"Mesodma","72.1","56.8","15.3","Neoplagiaulacidae","Multituberculata"
"Cimolomys","72.1","66","6.09999999999999","Cimolomyidae","Multituberculata"
"Turgidodon","72.1","66","6.09999999999999","Alphadontidae","Didelphimorphia"
"Cimolestes","72.1","63.3","8.8","Cimolestidae","Cimolesta"
"Glasbius","72.1","66","6.09999999999999","Glasbiidae","Didelphimorphia"
"Essonodon","72.1","66","6.09999999999999","Cimolomyidae","Multituberculata"
"Nortedelphys","70.6","66","4.59999999999999","Herpetotheriidae","Marsupialia"
"Batodon","70.6","66","4.59999999999999","Cimolestidae","Cimolesta"
"Neoplagiaulax","70.6","55.8","14.8","Neoplagiaulacidae","Multituberculata"
"Parectypodus","70.6","48.6","22","Neoplagiaulacidae","Multituberculata"
"Delphodon","70.6","66","4.59999999999999","Palaeoryctidae","Cimolesta"
"Clemensodon","70.6","66","4.59999999999999","Eucosmodontidae","Multituberculata"
"Telacodon","70.6","66","4.59999999999999","Cimolestidae","Cimolesta"
"Bubodens","70.6","66","4.59999999999999","Taeniolabididae","Multituberculata"
"Eucosmodon","66","61.7","4.3","Eucosmodontidae","Multituberculata"
"Taeniolabis","66","63.3","2.7","Taeniolabididae","Multituberculata"
"Valenia","66","63.3","2.7","Hyopsodontidae","Condylarthra"
"Xyronomys","66","61.7","4.3","Neoplagiaulacidae","Multituberculata"
"Kimbetohia","66","63.3","2.7","Ptilodontidae","Multituberculata"
"Catopsalis","66","56.8","9.2","Taeniolabididae","Multituberculata"
"Thylacodon","66","63.3","2.7","Herpetotheriidae","Marsupialia"
"Procerberus","72.1","61.7","10.4","Cimolestidae","Cimolesta"
"Stygimys","66","61.7","4.3","Eucosmodontidae","Multituberculata"
"Valenopsalis","70.6","63.3","7.3","Taeniolabididae","Multituberculata"
"Puercolestes","66","63.3","2.7","Cimolestidae","Cimolesta"
"Eoconodon","66","56","10","Triisodontidae","Acreodi"
"Bomburia","66","63.3","2.7","Hyopsodontidae","Condylarthra"
"Choeroclaenus","66","63.3","2.7","Hyopsodontidae","Condylarthra"
"Ellipsodon","66","56.8","9.2","Hyopsodontidae","Condylarthra"
"Tiznatzinia","66","63.3","2.7","Hyopsodontidae","Condylarthra"
"Bubogonia","66","63.3","2.7","Hyopsodontidae","Condylarthra"
"Microcosmodon","66","55.8","10.2","Microcosmodontidae","Multituberculata"
"Promioclaenus","66","56.8","9.2","Hyopsodontidae","Condylarthra"
"Prochetodon","66","55.8","10.2","Ptilodontidae","Multituberculata"
"Ptilodus","66","55.8","10.2","Ptilodontidae","Multituberculata"
"Litaletes","66","56.8","9.2","Hyopsodontidae","Condylarthra"
"Goniacodon","66","56.8","9.2","Triisodontidae","Acreodi"
"Dissacus","66","48.6","17.4","Mesonychidae","Acreodi"
"Protoselene","66","56.8","9.2","Hyopsodontidae","Condylarthra"
"Ectypodus","66","33.9","32.1","Neoplagiaulacidae","Multituberculata"
"Gelastops","66","56.8","9.2","Cimolestidae","Cimolesta"
"Pararyctes","66","50.3","15.7","Palaeoryctidae","Cimolesta"
"Aphronorus","66","55.8","10.2","Pentacodontidae","Cimolesta"
"Haplaletes","66","56.8","9.2","Apheliscidae","Macroscelidea"
