"","family","genus"
"476","Cervidae","Alces"
"495","Cervidae","Alces"
"498","Cervidae","Alces"
"505","Cervidae","Alces"
"506","Cervidae","Alces"
"507","Cervidae","Alces"
"508","Cervidae","Alces"
"509","Cervidae","Alces"
"510","Cervidae","Alces"
"511","Cervidae","Alces"
"512","Cervidae","Alces"
"513","Cervidae","Alces"
"514","Cervidae","Alces"
"515","Cervidae","Alces"
"516","Cervidae","Alces"
"517","Cervidae","Alces"
"518","Cervidae","Alces"
"519","Cervidae","Alces"
"520","Cervidae","Alces"
"521","Cervidae","Alces"
"522","Cervidae","Alces"
"523","Cervidae","Alces"
"524","Cervidae","Alces"
"525","Cervidae","Alces"
"526","Cervidae","Alces"
"527","Cervidae","Alces"
"528","Cervidae","Alces"
"529","Cervidae","Alces"
"530","Cervidae","Alces"
"531","Cervidae","Alces"
"532","Cervidae","Alces"
"533","Cervidae","Alces"
"534","Cervidae","Alces"
"535","Cervidae","Alces"
"536","Cervidae","Alces"
"538","Cervidae","Alces"
"539","Cervidae","Alces"
"540","Cervidae","Alces"
"541","Cervidae","Alces"
"542","Cervidae","Alces"
"544","Cervidae","Alces"
"545","Cervidae","Alces"
"546","Cervidae","Alces"
"547","Cervidae","Alces"
"548","Cervidae","Alces"
"549","Cervidae","Alces"
"550","Cervidae","Alces"
"551","Cervidae","Alces"
"552","Cervidae","Alces"
"553","Cervidae","Alces"
"554","Cervidae","Alces"
"555","Cervidae","Alces"
"556","Cervidae","Alces"
"557","Cervidae","Alces"
"558","Cervidae","Alces"
"559","Cervidae","Alces"
"560","Cervidae","Alces"
"561","Cervidae","Alces"
"562","Cervidae","Alces"
"563","Cervidae","Alces"
"564","Cervidae","Alces"
"565","Cervidae","Alces"
"566","Cervidae","Alces"
"567","Cervidae","Alces"
"568","Cervidae","Alces"
"569","Cervidae","Alces"
"570","Cervidae","Alces"
"571","Cervidae","Alces"
"572","Cervidae","Alces"
"573","Cervidae","Alces"
"574","Cervidae","Alces"
"575","Cervidae","Alces"
"576","Cervidae","Alces"
"578","Cervidae","Alces"
"579","Cervidae","Alces"
"580","Cervidae","Alces"
"581","Cervidae","Alces"
"582","Cervidae","Alces"
"583","Cervidae","Alces"
"584","Cervidae","Alces"
"585","Cervidae","Alces"
"586","Cervidae","Alces"
"587","Cervidae","Alces"
"588","Cervidae","Alces"
"589","Cervidae","Alces"
"590","Cervidae","Alces"
"591","Cervidae","Alces"
"593","Cervidae","Alces"
"594","Cervidae","Alces"
"595","Cervidae","Alces"
"596","Cervidae","Alces"
"597","Cervidae","Alces"
"598","Cervidae","Alces"
"599","Cervidae","Alces"
"600","Cervidae","Alces"
"601","Cervidae","Alces"
"602","Cervidae","Alces"
"603","Cervidae","Alces"
"604","Cervidae","Alces"
"605","Cervidae","Alces"
"606","Cervidae","Alces"
"607","Cervidae","Alces"
"608","Cervidae","Alces"
"609","Cervidae","Alces"
"610","Cervidae","Alces"
"611","Cervidae","Alces"
"612","Cervidae","Alces"
"613","Cervidae","Alces"
"614","Cervidae","Alces"
"616","Cervidae","Alces"
"617","Cervidae","Alces"
"618","Cervidae","Alces"
"619","Cervidae","Alces"
"620","Cervidae","Alces"
"621","Cervidae","Alces"
"622","Cervidae","Alces"
"623","Cervidae","Alces"
"625","Cervidae","Alces"
"626","Cervidae","Alces"
"627","Cervidae","Alces"
"628","Cervidae","Alces"
"629","Cervidae","Alces"
"630","Cervidae","Alces"
"631","Cervidae","Alces"
"632","Cervidae","Alces"
"633","Cervidae","Alces"
"634","Cervidae","Alces"
"635","Cervidae","Alces"
"636","Cervidae","Alces"
"637","Cervidae","Alces"
"638","Cervidae","Alces"
"639","Cervidae","Alces"
"640","Cervidae","Alces"
"641","Cervidae","Alces"
"642","Cervidae","Alces"
"645","Cervidae","Alces"
"646","Cervidae","Alces"
"647","Cervidae","Alces"
"648","Cervidae","Alces"
"649","Cervidae","Alces"
"821","Canidae","Alopex"
"824","Canidae","Alopex"
"825","Canidae","Alopex"
"826","Canidae","Alopex"
"827","Canidae","Alopex"
"828","Canidae","Alopex"
"829","Canidae","Alopex"
"830","Canidae","Alopex"
"831","Canidae","Alopex"
"832","Canidae","Alopex"
"833","Canidae","Alopex"
"834","Canidae","Alopex"
"835","Canidae","Alopex"
"836","Canidae","Alopex"
"838","Canidae","Alopex"
"839","Canidae","Alopex"
"840","Canidae","Alopex"
"841","Canidae","Alopex"
"842","Canidae","Alopex"
"843","Canidae","Alopex"
"844","Canidae","Alopex"
"845","Canidae","Alopex"
"846","Canidae","Alopex"
"847","Canidae","Alopex"
"848","Canidae","Alopex"
"849","Canidae","Alopex"
"851","Canidae","Alopex"
"852","Canidae","Alopex"
"853","Canidae","Alopex"
"854","Canidae","Alopex"
"855","Canidae","Alopex"
"856","Canidae","Alopex"
"857","Canidae","Alopex"
"858","Canidae","Alopex"
"859","Canidae","Alopex"
"860","Canidae","Alopex"
"861","Canidae","Alopex"
"862","Canidae","Alopex"
"863","Canidae","Alopex"
"864","Canidae","Alopex"
"865","Canidae","Alopex"
"866","Canidae","Alopex"
"867","Canidae","Alopex"
"868","Canidae","Alopex"
"869","Canidae","Alopex"
"870","Canidae","Alopex"
"871","Canidae","Alopex"
"872","Canidae","Alopex"
"873","Canidae","Alopex"
"874","Canidae","Alopex"
"875","Canidae","Alopex"
"876","Canidae","Alopex"
"877","Canidae","Alopex"
"878","Canidae","Alopex"
