"collection_no"	"order_name"	"order_extant"	"family_name"	"family_extant"	"genus_extant"	"species_extant"	"occurrence.genus_name"	"occurrence.species_name"	"full_name"	"taxon_no"	"occurrence_no"	"occurrence.reference_no"	"preservation"	"common_name"	"collection.reference_no"	"collection_name"	"collection_aka"	"latdec"	"lngdec"	"paleolatdec"	"paleolngdec"	"period"	"epoch"	"X10_my_bin"	"FR2_bin"	"max_interval"	"min_interval"	"direct_ma"	"direct_ma_error"	"direct_ma_method"	"max_ma"	"max_ma_error"	"max_ma_method"	"min_ma"	"min_ma_error"	"min_ma_method"	"interval_base"	"interval_top"	"interval_midpoint"	"ma_max"	"ma_min"	"ma_mid"	"period_max"	"period_min"	"lithification"	"environment"	"temporal_resolution"	"altitude_value"	"Source"	"paleolat"	"family"	"NALMA"
"244"	NA	"Rodentia"	"yes"	"Muridae"	NA	NA	NA	"Antecalomys"	"valensis"	"Antecalomys valensis"	NA	NA	NA	NA	NA	NA	"Little Valley UO 2516"	"Little Valley II"	435231	1172647	43.5231	-117.2647	"Tertiary"	"Late Miocene"	NA	NA	"Hemphillian"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7	5.9	NA	6.7	5.9	NA	NA	NA	NA	NA	NA	NA	"MIOMAP"	NA	NA	NA
"245"	NA	"Rodentia"	"yes"	"Muridae"	NA	NA	NA	"Antecalomys"	"valensis"	"Antecalomys valensis"	NA	NA	NA	NA	NA	NA	"McKay Reservoir"	""	453547	1184705	45.3547	-118.4705	"Tertiary"	"Late Miocene"	NA	NA	"Hemphillian"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7	5.9	NA	6.7	5.9	NA	NA	NA	NA	NA	NA	NA	"MIOMAP"	NA	NA	NA
"251"	NA	"Rodentia"	"yes"	"Muridae"	NA	NA	NA	"Antecalomys"	"vasquezi"	"Antecalomys vasquezi"	NA	NA	NA	NA	NA	NA	"Old Cabin Quarry"	""	322645	1102952	32.2645	-110.2952	"Tertiary"	"Late Miocene"	NA	NA	"Hemphillian"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6	6.3	NA	6.6	6.3	NA	NA	NA	NA	NA	NA	NA	"MIOMAP"	NA	NA	NA
"402"	NA	"Rodentia"	"yes"	"Muridae"	NA	NA	NA	"Basirepomys"	"sp."	"Basirepomys sp."	NA	NA	NA	NA	NA	NA	"Little Valley UO 2516"	"Little Valley II"	435231	1172647	43.5231	-117.2647	"Tertiary"	"Late Miocene"	NA	NA	"Hemphillian"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7	5.9	NA	6.7	5.9	NA	NA	NA	NA	NA	NA	NA	"MIOMAP"	NA	NA	NA
"403"	NA	"Rodentia"	"yes"	"Muridae"	NA	NA	NA	"Basirepomys"	"sp."	"Basirepomys sp."	NA	NA	NA	NA	NA	NA	"McKay Reservoir"	""	453547	1184705	45.3547	-118.4705	"Tertiary"	"Late Miocene"	NA	NA	"Hemphillian"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7	5.9	NA	6.7	5.9	NA	NA	NA	NA	NA	NA	NA	"MIOMAP"	NA	NA	NA
"430"	NA	"Rodentia"	"yes"	"Muridae"	NA	NA	NA	"Bensonomys"	"coffeyi"	"Bensonomys coffeyi"	NA	NA	NA	NA	NA	NA	"Coffee Ranch Quarry"	"Miami Quarry; Locality 20"	354359	1003125	35.4359	-100.3125	"Tertiary"	"Late Miocene"	NA	NA	"Hemphillian"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7	6.6	NA	6.7	6.6	NA	NA	NA	NA	NA	NA	NA	"MIOMAP"	NA	NA	NA
"444"	NA	"Rodentia"	"yes"	"Muridae"	NA	NA	NA	"Bensonomys"	"gidleyi"	"Bensonomys gidleyi"	NA	NA	NA	NA	NA	NA	"White Cone"	"White Cone Local Fauna"	353440	1100257	35.344	-110.0257	"Tertiary"	"Late Miocene"	NA	NA	"Hemphillian"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6	6.3	NA	6.6	6.3	NA	NA	NA	NA	NA	NA	NA	"MIOMAP"	NA	NA	NA
"479"	NA	"Rodentia"	"yes"	"Muridae"	NA	NA	NA	"Bensonomys"	"yazhi"	"Bensonomys yazhi"	NA	NA	NA	NA	NA	NA	"White Cone"	"White Cone Local Fauna"	353440	1100257	35.344	-110.0257	"Tertiary"	"Late Miocene"	NA	NA	"Hemphillian"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6	6.3	NA	6.6	6.3	NA	NA	NA	NA	NA	NA	NA	"MIOMAP"	NA	NA	NA
"498"	NA	"Rodentia"	"yes"	"Muridae"	NA	NA	NA	"Calomys"	"sp."	"Calomys sp."	NA	NA	NA	NA	NA	NA	"Mailbox"	"Mailbox Prospect"	422335	980734	42.2335	-98.0734	"Tertiary"	"Late Miocene"	NA	NA	"Hemphillian"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7	5.9	NA	6.7	5.9	NA	NA	NA	NA	NA	NA	NA	"MIOMAP"	NA	NA	NA
"533"	NA	"Rodentia"	"yes"	"Castoridae"	NA	NA	NA	"Castor"	"californicus"	"Castor californicus"	NA	NA	NA	NA	NA	NA	"Westend Blowout"	"Ordnance"	454539	1192850	45.4539	-119.285	"Tertiary"	"Late Miocene"	NA	NA	"Hemphillian"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.7	5.9	NA	6.7	5.9	NA	NA	NA	NA	NA	NA	NA	"MIOMAP"	NA	NA	NA
