"","Antecalomys","Baiomys","Baranomys","Basirepomys","Bensonomys","Calomys","Castor","Comancheomys","Copemys","Cupidinimus","Dipodomys","Dipoides","Diprionomys","Epigaulus","Galushamys","Geomys","Goniodontomys","Hesperogaulus","Kansasimys","Leptodontomys","Liodontia","Marmota","Mimomys","Miopetaurista","Neotoma","Ogmodontomys","Onychomys","Ophiomys","Oregonomys","Oryzomys","Paenemarmota","Parapaenemarmota","Parapliosaccomys","Paronychomys","Perognathus","Peromyscus","Pliogeomys","Pliophenacomys","Pliosaccomys","Pliozapus","Procastoroides","Prodipodomys","Prodipoides","Progeomys","Propliophenacomys","Prosigmodon","Prosomys","Prothomomys","Repomys","Sciurus","Spermophilus","Symmetrodontomys","Tamias","Thomomys"
"Antecalomys",NA,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
"Baiomys",NA,NA,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
"Baranomys",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Basirepomys",NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
"Bensonomys",NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
"Calomys",NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
"Castor",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Comancheomys",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Copemys",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
"Cupidinimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
