"","MinAge","MaxAge","Midpoint","Duration","Ntot","Nt","Nb","Ne","No","p","q","Rcl.E","Rcl.O","I.E","I.O"
"Lancian",66,68,67,2,7,7,7,0,0,0,0,NA,NA,NA,NA
"Puercan",63.3,66,64.65,2.7,19,4,4,15,15,0,0,0.0701974731287317,0.0701974731287317,0.0373563218390804,0.0373563218390804
"Torrejonian",61.7,63.3,62.5,1.59999999999999,41,27,27,14,14,0,0,-0.016981838083532,-0.016981838083532,0.118745275888133,0.118745275888133
"Tiffanian",56.8,61.7,59.25,4.90000000000001,43,22,19,21,24,0.03,0,0.0113836846833158,-0.00627234432650821,-0.0302332076525625,-0.260823429541596
"Clarkforkian",55.8,56.8,56.3,1,35,32,27,3,8,0.208,0.038,-0.0106392241257158,0.0210769743156057,-0.242788461538462,-0.0651709401709402
"Wasatchian",50.3,55.8,53.05,5.5,70,34,34,36,36,0,0,-0.0320626314202516,-0.0320626314202516,-0.191403413217139,-0.191403413217139
"Bridgerian",46.2,50.3,48.25,4.09999999999999,89,42,65,47,24,0.006,0.112,-0.047451537985426,-0.0145975679745771,0.0322069253233207,-0.102952488687783
"Uintan",40.4,46.2,43.3,5.8,81,37,37,44,44,0,0,-0.0396504320195966,-0.0396504320195966,-0.0400974025974026,-0.0400974025974026
"Duchesnean",37.2,40.4,38.8,3.2,54,41,42,13,12,0,0.008,-0.0154942144191251,-0.0107232139725044,0.117612570356473,0.225446428571429
"Chadronian",33.9,37.2,35.55,3.3,60,31,31,29,29,0,0,-0.0342736062530805,-0.0342736062530805,-0.0841675936225436,-0.0841675936225436
"Orellan",33.3,33.9,33.6,0.600000000000001,60,52,52,8,8,0,0,-0.017742693015399,-0.017742693015399,-0.117647058823529,-0.117647058823529
"Whitneyan",30.8,33.3,32.05,2.5,65,57,57,8,8,0,0,0.0118198763488942,0.0118198763488942,0.0658393141945774,0.0658393141945774
"Arikareean",20.43,30.8,25.615,10.37,297,223,45,74,252,0.19,0.036,0.00637345705643676,0.0173462499818984,0.00185908201603266,0.00760204081632652
"Hemingfordian",15.97,20.43,18.2,4.46,247,228,228,19,19,0,0,-0.00604647642143704,-0.00604647642143704,-0.0412087912087912,-0.0412087912087912
"Barstovian",13.6,15.97,14.785,2.37,250,227,228,23,22,0.006,0.007,-0.00407025660425039,-0.00256660877767573,-0.019337352511074,-0.0193286245917825
"Clarendonian",10.3,13.6,11.95,3.3,255,237,237,18,18,0.005,0.005,-0.00692630765560918,-0.0046029028160361,-0.0290109384686144,-0.0288692916325048
"Hemphillian",4.9,10.3,7.6,5.4,236,105,187,131,49,0.039,0.146,0.0110908415999508,0.00488016919629255,-0.00344840133507846,-0.00674968029311184
"Blancan",1.8,4.9,3.35,3.1,175,129,108,46,67,0.15,0.093,-0.0111230344437888,-0.0166425715197159,-0.0537993087359648,0.0373310462935865
"Irvingtonian",0.3,1.8,1.05,1.5,179,164,164,15,15,0.004,0.004,-0.00420722404919461,-0.00420722404919461,-0.055892452760144,-0.055892452760144
"Rancholabrean",0.011,0.3,0.1555,0.289,229,158,175,71,54,0.923,1.277,-0.0068722311349364,-0.00440458770170149,0.0531123654955457,-0.0666461853558628
"Recent",0,0.011,0.0055,0.011,0,0,0,0,0,NA,NA,NA,NA,NA,NA
