"","MinAge","MaxAge","Midpoint","Duration","Ntot","Nt","Nb","Ne","No","p","q","Rcl.E","Rcl.O","I.E","I.O","lcl.Rcl.E","ucl.Rcl.E","lcl.Rcl.O","ucl.Rcl.O","lcl.I.E","ucl.I.E","lcl.I.O","ucl.I.O"
"Lancian",66,68,67,2,7,7,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puercan",63.3,66,64.65,2.7,19,4,4,15,15,0,0,0.0701974731287317,0.0701974731287317,0.0373563218390804,0.0373563218390804,-0.15387286109818,0.198237664115538,-0.15387286109818,0.198237664115538,-0.257471264367816,0.299425287356322,-0.257471264367816,0.299971264367808
"Torrejonian",61.7,63.3,62.5,1.59999999999999,41,27,27,14,14,0,0,-0.016981838083532,-0.016981838083532,0.118745275888133,0.118745275888133,-0.0553959269897285,0.0790533841819592,-0.0553959269897285,0.0790533841819592,-0.312018140589569,0.357369614512472,-0.308919123204837,0.329478458049887
"Tiffanian",56.8,61.7,59.25,4.90000000000001,43,22,19,21,24,0.03,0,0.0113836846833158,-0.00627234432650821,-0.0302332076525625,-0.260823429541596,-0.0465642925685924,0.0689717366106781,-0.059082851802843,0.0597407900189103,-0.351487222454964,0.351143345901409,-0.333828522920204,0.362761743067346
"Clarkforkian",55.8,56.8,56.3,1,35,32,27,3,8,0.208,0.038,-0.0106392241257158,0.0210769743156057,-0.242788461538462,-0.0651709401709402,-0.0106392241257158,0.151677143946103,-0.0332122019518635,0.129655326850544,-0.326923076923077,0.822916666666667,-0.401709401709402,0.533119658119658
"Wasatchian",50.3,55.8,53.05,5.5,70,34,34,36,36,0,0,-0.0320626314202516,-0.0320626314202516,-0.191403413217139,-0.191403413217139,-0.0486966281721114,0.0621966835069542,-0.0486966281721114,0.0621966835069542,-0.194580610021787,0.237637300290485,-0.19616920842411,0.247049745824256
"Bridgerian",46.2,50.3,48.25,4.09999999999999,89,42,65,47,24,0.006,0.112,-0.047451537985426,-0.0145975679745771,0.0322069253233207,-0.102952488687783,-0.0502546790738395,0.0702803877279393,-0.0390768743245445,0.0637362123453186,-0.11949460635318,0.166689537517134,-0.115730297888386,0.160188159879336
"Uintan",40.4,46.2,43.3,5.8,81,37,37,44,44,0,0,-0.0396504320195966,-0.0396504320195966,-0.0400974025974026,-0.0400974025974026,-0.0530046315771323,0.0671831644406886,-0.0530046315771323,0.0639280782985381,-0.128953251140751,0.177417734292734,-0.127522815022815,0.188061600561601
"Duchesnean",37.2,40.4,38.8,3.2,54,41,42,13,12,0,0.008,-0.0154942144191251,-0.0107232139725044,0.117612570356473,0.225446428571429,-0.0363132011174988,0.0677817323743697,-0.0332561349631853,0.0794084699902195,-0.293972795497186,0.36139774859287,-0.296875,0.345982142857143
"Chadronian",33.9,37.2,35.55,3.3,60,31,31,29,29,0,0,-0.0342736062530805,-0.0342736062530805,-0.0841675936225436,-0.0841675936225436,-0.0577142102206047,0.0829294135845402,-0.0577142102206047,0.0907429482403816,-0.220121122234582,0.307656655543196,-0.220121122234582,0.271814361636386
